"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /TransferService.svc/json/TestCacheMethod",556655,2000,2300,2500,2700,3100,3500,4000,4100,9860
"None Total",556655,2000,2300,2500,2700,3100,3500,4000,4100,9860
