"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/TransferService.svc/json/TestCacheMethod",556655,0,2000,1909,29,9860,4,1024.19
"None","Total",556655,0,2000,1909,29,9860,4,1024.19
