"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/TransferService.svc/json/TestCacheMethod",1050630,1,2700,2887,30,108284,4,964.58
"None","Total",1050630,1,2700,2887,30,108284,4,964.58
